id;name;collaborative;description;primary_color;cover;thumbnail;public_accessible;number_songs;followers;rating
1;Washington;true;../fake-data/blob/hipster.txt;one-to-one;invoice Intelligent Wooden Chips;Czech Koruna Rustic;false;80048;82769;71816
2;Rubber infrastructures Officer;true;../fake-data/blob/hipster.txt;Ergonomic;optimize;Producer;true;8581;39700;49964
3;front-end Response;false;../fake-data/blob/hipster.txt;Afghani;Ergonomic;Auto Loan Account;false;30521;75665;92613
4;program;false;../fake-data/blob/hipster.txt;Electronics Fresh Wooden;Distributed discrete Home Loan Account;Strategist Wooden Refined;false;13454;51301;93161
5;driver;false;../fake-data/blob/hipster.txt;cross-platform;Tools;bypassing;true;94541;66898;58854
6;bypassing;false;../fake-data/blob/hipster.txt;South Dakota back-end;Borders Auto Loan Account;transmitting Representative;true;10901;28517;63812
7;Mouse Open-source;true;../fake-data/blob/hipster.txt;Rustic Steel Pants Applications Plaza;Ville Implementation Saint Pierre and Miquelon;interface withdrawal;true;42288;41035;5248
8;Refined reboot Open-architected;true;../fake-data/blob/hipster.txt;zero administration deploy;zero administration Plastic;Stravenue Investment Account Borders;true;67938;24608;34996
9;SAS Auto Loan Account Keyboard;true;../fake-data/blob/hipster.txt;index;Jewelery Lebanese Pound Soft;compress dot-com Plastic;false;30348;80207;96319
10;Re-contextualized Ferry;true;../fake-data/blob/hipster.txt;Borders Forward Incredible;Practical Wooden Chips;Denar Vietnam;false;21377;68132;73955
